start_station_name,start_station_id,start_lat,start_lng,total_trips,avg_trip_duration,member_trips,casual_trips,weekend_trips,weekday_trips,lunch_hour_trips,morning_trips,evening_trips,lunch_hour_share,weekend_share,total_trips_score,lunch_trips_score,lunch_share_score,weekday_score,casual_score,food_cart_score
W 21 St & 6 Ave,6140.05,40.74173969,-73.99415556,11153,9.199562709584864,10340,813,3038,8115,2677,2035,3881,0.24002510535281987,0.27239307809557967,1.0,1.0,0.46613571184460667,1.0,0.2908765652951699,0.8757012277139776
Pier 61 at Chelsea Piers,6233.04,40.746872,-74.00821,10982,12.428716923146968,9303,1679,3139,7843,2381,2128,4119,0.21680932434893463,0.28583136040794027,0.9846678023850085,0.8894284646992903,0.421049992213873,0.9664818237831176,0.6007155635062612,0.8529398335696406
Lafayette St & E 8 St,5788.13,40.73020660529954,-73.99102628231049,9395,9.448423771509669,8511,884,2544,6851,2053,1379,3252,0.21852048962213944,0.2707823310271421,0.8423742490809648,0.7669032499066119,0.4243731247734302,0.8442390634627234,0.31627906976744186,0.7219227318841873
Broadway & W 58 St,6948.10,40.76695317,-73.98169333,8183,15.116691981343436,6446,1737,2690,5493,2087,1664,2160,0.25504093853110105,0.3287302945130148,0.7337039361606743,0.7796040343668286,0.4952968951183701,0.6768946395563771,0.6214669051878354,0.7033427040104545
9 Ave & W 33 St,6492.08,40.752568,-73.996765,8946,11.099356362247558,8034,912,1531,7415,1817,1460,3496,0.2031075340934496,0.17113793874357255,0.8021160225948175,0.6787448636533433,0.39444071838438033,0.9137399876771412,0.3262969588550984,0.6929114731867505
E 17 St & Broadway,5980.10,40.737006,-73.990134,8351,10.146149113878579,7432,919,2287,6064,2080,1288,2777,0.2490719674290504,0.2738594180337684,0.7487671478525957,0.7769891669779604,0.4837049802245326,0.7472581638940234,0.32880143112701254,0.6898402693193944
Broadway & W 25 St,6173.08,40.74286877312112,-73.98918628692627,8251,10.853025116147538,7251,1000,1940,6311,2011,973,3191,0.2437280329657011,0.2351230153920737,0.7398009504169282,0.7512140455734031,0.4733269046000572,0.7776956253850893,0.35778175313059035,0.6865251444050058
Broadway & E 14 St,5905.12,40.73454567,-73.99074142,8429,9.759661284454463,7362,1067,2235,6194,1867,1171,2776,0.22149721200616918,0.26515600901649067,0.7557607818524164,0.6974224878595443,0.4301540059250242,0.7632778804682686,0.3817531305903399,0.6668843559591348
W 31 St & 7 Ave,6331.01,40.749156,-73.9916,8968,10.541277737511152,7799,1169,1840,7128,1608,1833,2722,0.1793041926851026,0.20517395182872436,0.8040885860306644,0.6006723944714233,0.34821393941744555,0.8783733826247689,0.4182468694096601,0.6635782419803286
University Pl & E 14 St,5905.14,40.734814,-73.992085,8121,10.021652760333293,7129,992,2143,5978,1892,1194,2752,0.232976234453885,0.26388375815786236,0.7281448937505604,0.7067612999626448,0.4524466002437766,0.736660505237215,0.3549194991055456,0.657471389406941
E 13 St & Ave A,5779.09,40.72966729392978,-73.98067966103554,8246,8.515866387743552,7401,845,2390,5856,1619,1693,2543,0.19633761823914625,0.289837496968227,0.7393526405451448,0.6047814717967874,0.3812933455658782,0.721626617375231,0.3023255813953488,0.6091988914363307
7 Ave & Central Park South,6912.01,40.7667405590595,-73.9790689945221,6190,20.87891511847065,3955,2235,1715,4475,1722,1142,1776,0.2781906300484653,0.2770597738287561,0.5550076212678203,0.6432573776615614,0.5402542670506427,0.5514479359211337,0.7996422182468694,0.6081712232124796
Norfolk St & Broome St,5374.01,40.7172274,-73.98802084,7964,10.875641151849992,6898,1066,2556,5408,1639,1388,2413,0.2058011049723757,0.3209442491210447,0.7140679637765623,0.6122525214792678,0.39967171110577304,0.6664202094886014,0.3813953488372093,0.6041961213539028
